pattern,label,e_f,e_p,n_f,n_p,ochiai,tarantula,dstar,jaccard,op2,rrf_score,rank_rrf,rank,higher_in_positives,fail_pass_rate_delta,fisher_tested,p_value,q_value,reject_bh,reject_bh_exploratory,evidence_level
ACT :: VERIFY_FAIL,global,125.0,3.0,47.0,55.0,0.8424435406518626,0.9335565284573784,312.5,0.7142857142857143,124.94915254237289,0.08144678636481917,1,1,True,0.6750200481154771,True,6.5948833457184825e-21,2.637953338287393e-20,True,True,bh_significant
VERIFY_FAIL :: ACT,global,104.0,3.0,68.0,55.0,0.7666148488326922,0.9211973121563837,152.33802816901408,0.5942857142857143,103.94915254237289,0.07988511264720942,2,2,True,0.5529270248596632,True,5.12704199938233e-15,1.025408399876466e-14,True,True,bh_significant
ACT :: INFORM,global,110.0,58.0,62.0,0.0,0.6471036073356411,0.3900709219858156,100.83333333333333,0.4782608695652174,109.01694915254237,0.07913269526172752,3,3,False,-0.36046511627906974,False,,,False,False,untested
INFORM :: ACT,global,94.0,57.0,78.0,1.0,0.5832774096241454,0.3573675930781332,65.45185185185186,0.4104803493449782,93.03389830508475,0.07765151515151515,4,4,False,-0.4362469927826784,False,,,False,False,untested
VERIFY_FAIL :: INFORM,global,39.0,0.0,133.0,58.0,0.4761766332428667,1.0,11.436090225563909,0.22674418604651161,39.0,0.07709932344078686,5,5,True,0.22674418604651161,True,3.4202439068374904e-06,4.560325209116654e-06,True,True,bh_significant
INFORM :: TERMINATE,global,58.0,56.0,114.0,2.0,0.4142011920540307,0.2588488765774084,19.788235294117648,0.2543859649122807,57.05084745762712,0.07623073443968967,6,6,False,-0.628307939053729,False,,,False,False,untested
INFORM :: VERIFY_FAIL,global,26.0,0.0,146.0,58.0,0.3887965929604765,1.0,4.63013698630137,0.1511627906976744,26.0,0.07596165513893945,7,7,True,0.1511627906976744,True,0.00031049123129125674,0.00031049123129125674,True,True,bh_significant
