pattern,fail_support,pass_support,mean_fail_surprise,mean_pass_surprise,surprise_delta,support_weighted_delta,rank
ACT :: VERIFY_FAIL,125,3,1.3745259606788691,1.0081521994828968,0.3663737611959723,1.7805077492928272,1
ACT :: INFORM,110,58,0.9299780957260063,0.4724836443192274,0.4574944514067789,2.3469001983560718,2
VERIFY_FAIL :: ACT,104,3,1.416315465524349,1.0081521994828968,0.40816326604145226,1.9110739736976943,3
INFORM :: ACT,94,57,0.9963582559636979,0.46741388569043113,0.5289443702732668,2.657353318427165,4
INFORM :: TERMINATE,58,56,0.6076455724165142,0.4489474046111984,0.15869816780531576,0.7530120351318251,5
VERIFY_FAIL :: INFORM,39,0,1.709223565755418,,1.709223565755418,6.305119694202522,6
INFORM :: VERIFY_FAIL,26,0,1.7207936479512895,,1.7207936479512895,5.671455143703935,7
