pattern,fail_support,pass_support,mean_fail_surprise,mean_pass_surprise,surprise_delta,support_weighted_delta,rank
ACT :: INFORM :: ACT :: TERMINATE,64,25,0.6463279827873176,0.5467570982101505,0.09957088457716712,0.4480500293036752,1
ACT :: VERIFY_PASS :: PLAN :: ACT,57,28,0.5714994905209433,0.5254773086288386,0.04602218189210472,0.20499878147878378,2
VERIFY_PASS :: PLAN :: ACT :: INFORM,45,12,0.5965351908938055,0.5536844289039852,0.042850761989820296,0.17399307701815397,3
INFORM :: ACT :: PLAN :: INFORM,30,7,0.8574138257686298,0.7995201812471928,0.05789364452143697,0.2105931200472984,4
ACT :: VERIFY_PASS :: PLAN :: INFORM,30,9,0.8099585959417994,0.7897982293105749,0.020160366631224558,0.07436916225332846,5
PLAN :: INFORM :: PLAN :: ACT,30,9,0.8099585959417994,0.7897982293105749,0.020160366631224558,0.07436916225332846,6
VERIFY_PASS :: PLAN :: INFORM :: PLAN,30,9,0.8099585959417994,0.7897982293105749,0.020160366631224558,0.07436916225332846,7
ACT :: PLAN :: INFORM :: ACT,29,7,0.8304060823644491,0.7995201812471928,0.03088590111725631,0.11152645359245907,8
PLAN :: INFORM :: ACT :: PLAN,28,7,0.8407229634102901,0.7995201812471928,0.04120278216309725,0.1476509501985406,9
PLAN :: ACT :: INFORM :: TERMINATE,17,7,0.6856895828491997,0.6847983511355552,0.0008912317136444692,0.002868764217406041,10
ACT :: PLAN :: ERROR :: INFORM,16,4,0.9443764176368442,0.6858348805885007,0.2585415370483435,0.7871355106271833,11
PLAN :: ERROR :: INFORM :: ACT,16,4,0.9443764176368442,0.6858348805885007,0.2585415370483435,0.7871355106271833,12
ACT :: INFORM :: ACT :: ERROR,13,4,0.8053386626599314,0.6858348805885007,0.11950378207143064,0.34541035666104114,13
ERROR :: ACT :: PLAN :: ERROR,12,2,0.8847575686823804,0.7048642823973442,0.1798932862850362,0.4871600501011297,14
PLAN :: ACT :: PLAN :: ACT,12,16,0.4776156141227101,0.5043219684224787,-0.026706354299768587,-0.0899281954677521,15
VERIFY_PASS :: PLAN :: ACT :: PLAN,12,16,0.4776156141227101,0.5043219684224787,-0.026706354299768587,-0.0899281954677521,16
PLAN :: INFORM :: ACT :: VERIFY_PASS,11,3,0.9372763858703944,0.8271605043205548,0.11011588154983964,0.2981993351755904,17
INFORM :: REQUEST :: INFORM :: ACT,11,1,0.830644662734496,0.9857589504952591,-0.15511428776076308,-0.3978602927250732,18
ACT :: ERROR :: ACT :: PLAN,10,1,0.8745838601354589,0.6483077646688022,0.2262760954666566,0.5622749743131594,19
INFORM :: ACT :: ERROR :: ACT,10,1,0.8745838601354589,0.6483077646688022,0.2262760954666566,0.5622749743131594,20
INFORM :: PLAN :: INFORM :: REQUEST,10,1,0.7198039810881711,0.9857589504952591,-0.26595496940708796,-0.660873272023837,21
PLAN :: INFORM :: REQUEST :: INFORM,10,1,0.7198039810881711,0.9857589504952591,-0.26595496940708796,-0.660873272023837,22
REQUEST :: INFORM :: ACT :: INFORM,10,1,0.7198039810881711,0.9857589504952591,-0.26595496940708796,-0.660873272023837,23
REQUEST :: PLAN :: ACT :: INFORM,9,5,0.8837332445690482,0.6718065584400008,0.21192668612904741,0.5739081049906918,24
ACT :: PLAN :: VERIFY_FAIL :: INFORM,7,4,1.1104624034043609,0.8465858978379117,0.26387650556644915,0.6557084834048897,25
VERIFY_FAIL :: INFORM :: ACT :: PLAN,7,2,1.2220836829352668,0.9920687714370301,0.23001491149823672,0.5296289063821846,26
INFORM :: ACT :: PLAN :: VERIFY_FAIL,7,3,1.1104624034043609,0.9185548983189187,0.1919075050854422,0.4601740992589111,27
ERROR :: INFORM :: ACT :: VERIFY_PASS,7,1,0.7180151599898414,0.6483077646688022,0.0697073953210392,0.15316280222147913,28
PLAN :: VERIFY_FAIL :: INFORM :: ACT,6,4,1.1788709611813701,0.8465858978379117,0.3322850633434584,0.7967847826127861,29
VERIFY_FAIL :: INFORM :: ACT :: INFORM,6,4,1.1788709611813701,0.8465858978379117,0.3322850633434584,0.7967847826127861,30
INFORM :: VERIFY_FAIL :: ACT :: INFORM,5,0,1.0983399941829366,,1.0983399941829366,1.9679610850091633,31
VERIFY_FAIL :: ACT :: INFORM :: ACT,5,0,1.0983399941829366,,1.0983399941829366,1.9679610850091633,32
ERROR :: INFORM :: ACT :: PLAN,5,2,1.2267140484981613,0.6668054787796572,0.5599085697185041,1.164297139415198,33
INFORM :: ACT :: PLAN :: ERROR,5,2,1.2267140484981613,0.6668054787796572,0.5599085697185041,1.164297139415198,34
ERROR :: INFORM :: ACT :: INFORM,5,3,0.9018757716263421,0.6983439192284003,0.2035318523979418,0.4472051883595255,35
REQUEST :: ACT :: INFORM :: TERMINATE,5,4,0.7457307626173734,0.7040154864455737,0.04171527617179971,0.09605297306331574,36
ERROR :: INFORM :: ERROR :: ACT,4,1,1.3229159288725922,0.7614208001258862,0.561495128746706,1.0060642138573364,37
PLAN :: ERROR :: INFORM :: ERROR,4,1,1.3229159288725922,0.7614208001258862,0.561495128746706,1.0060642138573364,38
ACT :: ERROR :: PLAN :: ERROR,3,3,0.7186696795498834,0.6983439192284003,0.020325760321483033,0.03955210329683962,39
ERROR :: PLAN :: ERROR :: INFORM,3,3,0.7186696795498834,0.6983439192284003,0.020325760321483033,0.03955210329683962,40
INFORM :: ACT :: ERROR :: PLAN,3,3,0.7186696795498834,0.6983439192284003,0.020325760321483033,0.03955210329683962,41
