pattern,label,e_f,e_p,n_f,n_p,ochiai,tarantula,dstar,jaccard,op2,rrf_score,rank_rrf,rank,higher_in_positives,fail_pass_rate_delta,fisher_tested,p_value,q_value,reject_bh,reject_bh_exploratory,evidence_level
INFORM :: ACT :: TERMINATE,global,66.0,25.0,27.0,12.0,0.7174336870793402,0.512271869100063,83.76923076923077,0.559322033898305,65.34210526315789,0.07856078347881627,1,1,True,0.03400174367916309,False,,,False,False,untested
VERIFY_PASS :: PLAN :: ACT,global,57.0,28.0,36.0,9.0,0.6410972567400522,0.4474856779121578,50.765625,0.47107438016528924,56.26315789473684,0.07717435688035933,3,2,False,-0.14385353095030518,False,,,False,False,untested
ACT :: PLAN :: INFORM,global,30.0,7.0,63.0,30.0,0.5114214254947678,0.6303236797274275,12.857142857142858,0.3,29.81578947368421,0.0779848171152519,2,3,True,0.13339145597210111,True,0.09386581602417005,0.09386581602417005,False,True,exploratory_bh
VERIFY_PASS :: PLAN :: INFORM,global,30.0,9.0,63.0,28.0,0.4981354813867179,0.5701078582434514,12.5,0.29411764705882354,29.763157894736842,0.0756578947368421,4,4,True,0.07933740191804706,False,,,False,False,untested
ACT :: PLAN :: ERROR,global,16.0,4.0,77.0,33.0,0.37099111660813466,0.6141078838174274,3.1604938271604937,0.16494845360824742,15.894736842105264,0.07391364854051422,6,5,True,0.06393490264458007,False,,,False,False,untested
ERROR :: INFORM :: ACT,global,16.0,4.0,77.0,33.0,0.37099111660813466,0.6141078838174274,3.1604938271604937,0.16494845360824742,15.894736842105264,0.07391364854051422,6,6,True,0.06393490264458007,False,,,False,False,untested
PLAN :: ERROR :: INFORM,global,16.0,4.0,77.0,33.0,0.37099111660813466,0.6141078838174274,3.1604938271604937,0.16494845360824742,15.894736842105264,0.07391364854051422,6,7,True,0.06393490264458007,False,,,False,False,untested
ACT :: INFORM :: TERMINATE,global,17.0,7.0,76.0,30.0,0.3598336931672064,0.49140625,3.4819277108433737,0.17,16.81578947368421,0.07368024132730015,8,8,False,-0.006393490264458013,False,,,False,False,untested
REQUEST :: ACT :: INFORM,global,15.0,4.0,78.0,33.0,0.3568395510523549,0.598705501618123,2.7439024390243905,0.15463917525773196,14.894736842105264,0.07148452800626715,10,9,True,0.05318221447253704,False,,,False,False,untested
ERROR :: ACT :: PLAN,global,13.0,2.0,80.0,35.0,0.3480617091910828,0.7211394302848575,2.0609756097560976,0.1368421052631579,12.947368421052632,0.07169075056399,9,10,True,0.08573089218250507,False,,,False,False,untested
INFORM :: ACT :: ERROR,global,14.0,4.0,79.0,33.0,0.342176601716491,0.5820224719101125,2.36144578313253,0.14432989690721648,13.894736842105264,0.07027498323272971,13,11,True,0.04242952630049404,False,,,False,False,untested
INFORM :: REQUEST :: INFORM,global,11.0,1.0,82.0,36.0,0.3292763870490873,0.814,1.4578313253012047,0.11702127659574468,10.973684210526315,0.07054512274635621,11,12,True,0.0912525428654461,False,,,False,False,untested
ACT :: ERROR :: ACT,global,11.0,1.0,82.0,36.0,0.3292763870490873,0.814,1.4578313253012047,0.11702127659574468,10.973684210526315,0.07054512274635621,11,13,True,0.0912525428654461,False,,,False,False,untested
REQUEST :: PLAN :: INFORM,global,10.0,1.0,83.0,36.0,0.3126526997403612,0.7991360691144708,1.1904761904761905,0.10638297872340426,9.973684210526315,0.06889812889812891,14,14,True,0.08049985469340308,False,,,False,False,untested
PLAN :: ACT :: PLAN,global,12.0,16.0,81.0,21.0,0.23515854050088617,0.22981366459627328,1.4845360824742269,0.11009174311926606,11.578947368421053,0.06625253160136882,17,15,False,-0.30340017436791633,False,,,False,False,untested
ERROR :: ACT :: INFORM,global,5.0,0.0,88.0,37.0,0.23186944788008415,1.0,0.2840909090909091,0.053763440860215055,5.0,0.06706790708306638,15,16,True,0.053763440860215055,False,,,False,False,untested
VERIFY_FAIL :: ACT :: INFORM,global,5.0,0.0,88.0,37.0,0.23186944788008415,1.0,0.2840909090909091,0.053763440860215055,5.0,0.06706790708306638,15,17,True,0.053763440860215055,False,,,False,False,untested
PLAN :: VERIFY_FAIL :: INFORM,global,7.0,4.0,86.0,33.0,0.21885688981825285,0.41045958795562604,0.5444444444444444,0.07216494845360824,6.894736842105263,0.06396494582148592,19,18,False,-0.032839290903807036,False,,,False,False,untested
VERIFY_FAIL :: INFORM :: ACT,global,7.0,4.0,86.0,33.0,0.21885688981825285,0.41045958795562604,0.5444444444444444,0.07216494845360824,6.894736842105263,0.06396494582148592,19,19,False,-0.032839290903807036,False,,,False,False,untested
ACT :: PLAN :: VERIFY_FAIL,global,7.0,4.0,86.0,33.0,0.21885688981825285,0.41045958795562604,0.5444444444444444,0.07216494845360824,6.894736842105263,0.06396494582148592,19,20,False,-0.032839290903807036,False,,,False,False,untested
INFORM :: VERIFY_FAIL :: ACT,global,5.0,1.0,88.0,36.0,0.21166687833365086,0.6654676258992805,0.2808988764044944,0.05319148936170213,4.973684210526316,0.06389456941604181,21,21,True,0.026736413833188026,False,,,False,False,untested
INFORM :: ERROR :: ACT,global,5.0,1.0,88.0,36.0,0.21166687833365086,0.6654676258992805,0.2808988764044944,0.05319148936170213,4.973684210526316,0.06389456941604181,21,22,True,0.026736413833188026,False,,,False,False,untested
ERROR :: INFORM :: ERROR,global,4.0,1.0,89.0,36.0,0.18549555830406733,0.6141078838174274,0.17777777777777778,0.0425531914893617,3.973684210526316,0.06174849247138404,23,23,True,0.015983725661145018,False,,,False,False,untested
REQUEST :: INFORM :: TERMINATE,global,5.0,4.0,88.0,33.0,0.17282528245507087,0.3321364452423698,0.2717391304347826,0.05154639175257732,4.894736842105263,0.060097532989099256,24,24,False,-0.05434466724789306,False,,,False,False,untested
ACT :: ERROR :: PLAN,global,3.0,3.0,90.0,34.0,0.1270001270001905,0.2846153846153846,0.0967741935483871,0.03125,2.9210526315789473,0.058617945257621366,25,25,False,-0.048823016564952054,False,,,False,False,untested
ERROR :: PLAN :: ERROR,global,3.0,3.0,90.0,34.0,0.1270001270001905,0.2846153846153846,0.0967741935483871,0.03125,2.9210526315789473,0.058617945257621366,25,26,False,-0.048823016564952054,False,,,False,False,untested
