pattern,label,e_f,e_p,n_f,n_p,ochiai,tarantula,dstar,jaccard,op2,rrf_score,rank_rrf,rank,higher_in_positives,fail_pass_rate_delta,fisher_tested,p_value,q_value,reject_bh,reject_bh_exploratory,evidence_level
TERMINATE :: ERROR :: PLAN :: ACT,global,14.0,3.0,483.0,97.0,0.15230893473137352,0.48426150121065376,0.40329218106995884,0.028,13.970297029702971,0.051758481170245875,41,35,False,-0.001830985915492956,False,,,False,False,untested
PLAN :: ACT :: INFORM :: ERROR,global,12.0,1.0,485.0,99.0,0.14929022601411732,0.7071302298173247,0.2962962962962963,0.024096385542168676,11.990099009900991,0.054405520169851375,33,36,True,0.014144869215291749,False,,,False,False,untested
ACT :: PLAN :: VERIFY_FAIL :: TERMINATE,global,11.0,0.0,486.0,100.0,0.14877095408944618,1.0,0.24897119341563786,0.022132796780684104,11.0,0.055729867025250256,31,37,True,0.022132796780684104,False,,,False,False,untested
ACT :: INFORM :: ERROR :: PLAN,global,11.0,1.0,486.0,99.0,0.14243734429200944,0.688791484032561,0.24845995893223818,0.02208835341365462,10.990099009900991,0.05331632653061224,38,38,True,0.012132796780684104,False,,,False,False,untested
PLAN :: ACT :: TERMINATE :: VERIFY_PASS,global,10.0,0.0,487.0,100.0,0.1418475390906605,1.0,0.2053388090349076,0.02012072434607646,10.0,0.05419572392021811,35,39,True,0.02012072434607646,False,,,False,False,untested
PLAN :: ACT :: PLAN :: VERIFY_FAIL,global,10.0,0.0,487.0,100.0,0.1418475390906605,1.0,0.2053388090349076,0.02012072434607646,10.0,0.05419572392021811,35,40,True,0.02012072434607646,False,,,False,False,untested
ACT :: TERMINATE :: VERIFY_PASS :: PLAN,global,10.0,0.0,487.0,100.0,0.1418475390906605,1.0,0.2053388090349076,0.02012072434607646,10.0,0.05419572392021811,35,41,True,0.02012072434607646,False,,,False,False,untested
VERIFY_PASS :: PLAN :: ACT :: INFORM,global,11.0,2.0,486.0,98.0,0.1368493738462742,0.5253104106972302,0.24795081967213115,0.022044088176352707,10.98019801980198,0.05074524974399819,45,42,True,0.0021327967806841035,False,,,False,False,untested
INFORM :: ERROR :: PLAN :: ACT,global,10.0,1.0,487.0,99.0,0.1352463218994965,0.668002672010688,0.20491803278688525,0.020080321285140562,9.990099009900991,0.050917281645475834,43,43,True,0.010120724346076459,False,,,False,False,untested
TERMINATE :: VERIFY_PASS :: PLAN :: ACT,global,10.0,1.0,487.0,99.0,0.1352463218994965,0.668002672010688,0.20491803278688525,0.020080321285140562,9.990099009900991,0.050917281645475834,43,44,True,0.010120724346076459,False,,,False,False,untested
VERIFY_FAIL :: PLAN :: ACT :: PLAN,global,8.0,0.0,489.0,100.0,0.12687229593911023,1.0,0.130879345603272,0.01609657947686117,8.0,0.05179434092477571,40,45,True,0.01609657947686117,False,,,False,False,untested
ACT :: INFORM :: TERMINATE :: ERROR,global,10.0,3.0,487.0,97.0,0.1244085216784311,0.40144520272982737,0.20408163265306123,0.02,9.970297029702971,0.04626450888424916,54,46,False,-0.00987927565392354,False,,,False,False,untested
INFORM :: TERMINATE :: ERROR :: PLAN,global,10.0,3.0,487.0,97.0,0.1244085216784311,0.40144520272982737,0.20408163265306123,0.02,9.970297029702971,0.04626450888424916,54,47,False,-0.00987927565392354,False,,,False,False,untested
ACT :: INFORM :: PLAN :: ACT,global,9.0,2.0,488.0,98.0,0.12172168970954687,0.47518479408658926,0.1653061224489796,0.018036072144288578,8.98019801980198,0.04622521386540078,56,48,False,-0.0018913480885311869,False,,,False,False,untested
VERIFY_FAIL :: TERMINATE :: INFORM :: PLAN,global,7.0,0.0,490.0,100.0,0.11867816581938534,1.0,0.1,0.014084507042253521,7.0,0.05044835697525707,47,49,True,0.014084507042253521,False,,,False,False,untested
PLAN :: ACT :: INFORM :: VERIFY_FAIL,global,7.0,0.0,490.0,100.0,0.11867816581938534,1.0,0.1,0.014084507042253521,7.0,0.05044835697525707,47,50,True,0.014084507042253521,False,,,False,False,untested
