pattern,fail_support,pass_support,mean_fail_surprise,mean_pass_surprise,surprise_delta,support_weighted_delta,rank
TERMINATE :: PLAN :: ACT :: PLAN,10,11,1.1628050208933753,0.9976136339749754,0.16519138691839996,0.5106135898939138,1
ACT :: PLAN :: ACT :: PLAN,9,11,1.1317528342204626,0.9956604030971139,0.13609243112334868,0.41433646015936454,2
PLAN :: ACT :: TERMINATE :: ACT,9,6,1.1386895669286141,1.089027263946466,0.04966230298214813,0.13769314116875897,3
ACT :: TERMINATE :: ACT :: PLAN,7,6,1.1270605406603251,1.089027263946466,0.03803327671385914,0.1003719976809953,4
TERMINATE :: ACT :: PLAN :: ACT,6,7,1.1080204911996672,1.067933448362627,0.04008704283704012,0.10579200422169158,5
INFORM :: PLAN :: ACT :: PLAN,5,7,1.0352375098455193,1.004099687282264,0.031137822563255257,0.07986693797637291,6
ERROR :: PLAN :: ACT :: VERIFY_FAIL,4,1,1.5925624544397197,0.9946350430144858,0.5979274114252339,1.0713421013321818,7
TERMINATE :: PLAN :: ACT :: TERMINATE,4,8,1.3329702207567553,0.9934150291510001,0.3395551916057552,0.8709418705319107,8
REQUEST :: PLAN :: ACT :: ERROR,4,3,1.2305353345648409,1.0355202697585668,0.19501506480627406,0.4055224270115516,9
ACT :: TERMINATE :: PLAN :: TERMINATE,4,2,1.1152635116117233,0.9311946606412083,0.18406885097051506,0.3581814452284752,10
ACT :: INFORM :: PLAN :: ACT,4,5,1.1320246774289275,1.0186553006982004,0.11336937673072711,0.2610426368621983,11
PLAN :: ACT :: INFORM :: PLAN,4,7,1.1320246774289275,1.0299496230347418,0.10207505439418574,0.253646981441584,12
ACT :: PLAN :: ACT :: INFORM,4,6,1.1014506451290846,1.0770763600125903,0.02437428511649431,0.05844698305868139,13
TERMINATE :: PLAN :: TERMINATE :: PLAN,3,2,1.1792175202620536,0.9311946606412083,0.24802285962084536,0.4443973073106703,14
PLAN :: TERMINATE :: PLAN :: ACT,3,3,1.1792175202620536,0.9523414547656341,0.22687606549641948,0.4414804384272206,15
INFORM :: PLAN :: ACT :: INFORM,3,4,1.1774799643041554,1.024660365119129,0.1528195991850263,0.31777942292820566,16
REQUEST :: PLAN :: ACT :: INFORM,3,6,1.0307212560803887,1.0100717608033447,0.02064949527704396,0.04754722000277238,17
