pattern,label,e_f,e_p,n_f,n_p,ochiai,tarantula,dstar,jaccard,op2,rrf_score,rank_rrf,rank,higher_in_positives,fail_pass_rate_delta,fisher_tested,p_value,q_value,reject_bh,reject_bh_exploratory,evidence_level
REQUEST :: PLAN :: ACT :: INFORM :: TERMINATE,global,228.0,40.0,269.0,60.0,0.6247255320940258,0.5342080599812559,168.23300970873785,0.4245810055865922,227.6039603960396,0.0751891551071879,1,1,True,0.058752515090543245,False,,,False,False,untested
ACT :: INFORM :: TERMINATE :: INFORM :: PLAN,global,143.0,23.0,354.0,77.0,0.4978560614509422,0.5557498736932105,54.241379310344826,0.275,142.77227722772278,0.07472021066491112,2,2,True,0.05772635814889335,False,,,False,False,untested
PLAN :: ACT :: INFORM :: TERMINATE :: INFORM,global,142.0,23.0,355.0,77.0,0.4958703922270878,0.554016620498615,53.34391534391534,0.27307692307692305,141.77227722772278,0.0735930735930736,3,3,True,0.05571428571428569,False,,,False,False,untested
INFORM :: TERMINATE :: INFORM :: PLAN :: TERMINATE,global,105.0,21.0,392.0,79.0,0.4195906791483445,0.5015045135406219,26.694915254237287,0.20270270270270271,104.79207920792079,0.071509009009009,4,4,True,0.0012676056338028208,False,,,False,False,untested
ACT :: VERIFY_PASS :: PLAN :: INFORM :: TERMINATE,global,60.0,12.0,437.0,88.0,0.31718073984777556,0.5015045135406219,8.017817371937639,0.11787819253438114,59.881188118811885,0.07054747054747054,5,5,True,0.0007243460764587567,False,,,False,False,untested
INFORM :: PLAN :: ACT :: VERIFY_PASS :: PLAN,global,57.0,11.0,440.0,89.0,0.3100574742745818,0.5104325244022566,7.203991130820399,0.11220472440944881,56.89108910891089,0.06995185499858397,7,6,True,0.004688128772635816,False,,,False,False,untested
PLAN :: ACT :: VERIFY_PASS :: PLAN :: INFORM,global,56.0,11.0,441.0,89.0,0.30688271751987234,0.5060088551549652,6.938053097345133,0.11023622047244094,55.89108910891089,0.0689607517965727,8,7,True,0.002676056338028171,False,,,False,False,untested
PLAN :: ACT :: TERMINATE :: INFORM :: PLAN,global,42.0,7.0,455.0,93.0,0.26913678240975397,0.5469462169553327,3.8181818181818183,0.08333333333333333,41.93069306930693,0.06867574616053318,9,8,True,0.014507042253521119,False,,,False,False,untested
TERMINATE :: INFORM :: PLAN :: VERIFY_FAIL :: TERMINATE,global,35.0,0.0,462.0,100.0,0.2653724462171376,1.0,2.6515151515151514,0.07042253521126761,35.0,0.07024392733210859,6,9,True,0.07042253521126761,False,,,False,False,untested
PLAN :: ACT :: INFORM :: TERMINATE :: VERIFY_PASS,global,39.0,7.0,458.0,93.0,0.25793334886623875,0.5285269006640465,3.270967741935484,0.07738095238095238,38.93069306930693,0.06728778467908902,11,10,True,0.008470824949698183,False,,,False,False,untested
ACT :: INFORM :: TERMINATE :: VERIFY_PASS :: PLAN,global,37.0,5.0,460.0,95.0,0.2560936939303691,0.5982215036378334,2.944086021505376,0.07370517928286853,36.95049504950495,0.0675799477717368,10,11,True,0.024446680080482897,False,,,False,False,untested
PLAN :: ACT :: INFORM :: PLAN :: TERMINATE,global,37.0,8.0,460.0,92.0,0.2474100134045538,0.4820218863991662,2.925213675213675,0.07326732673267326,36.92079207920792,0.06483806218956249,14,12,False,-0.005553319919517102,False,,,False,False,untested
TERMINATE :: INFORM :: PLAN :: ACT :: INFORM,global,31.0,3.0,466.0,97.0,0.238475649864247,0.6752341537791331,2.0490405117270787,0.062,30.97029702970297,0.06628877342150842,13,13,True,0.03237424547283702,False,,,False,False,untested
INFORM :: TERMINATE :: INFORM :: PLAN :: VERIFY_FAIL,global,28.0,0.0,469.0,100.0,0.23735633163877068,1.0,1.671641791044776,0.056338028169014086,28.0,0.06707170476629334,12,14,True,0.056338028169014086,False,,,False,False,untested
PLAN :: ACT :: INFORM :: VERIFY_PASS :: PLAN,global,30.0,5.0,467.0,95.0,0.22746209675754656,0.5469462169553327,1.9067796610169492,0.05976095617529881,29.95049504950495,0.06372609062264235,15,15,True,0.010362173038229373,False,,,False,False,untested
INFORM :: PLAN :: ACT :: INFORM :: TERMINATE,global,28.0,3.0,469.0,97.0,0.22557916775901854,0.6525285481239804,1.6610169491525424,0.056,27.97029702970297,0.06323004480899219,16,16,True,0.026338028169014087,False,,,False,False,untested
INFORM :: TERMINATE :: INFORM :: PLAN :: ACT,global,27.0,2.0,470.0,98.0,0.224898506214583,0.7309149972929074,1.5444915254237288,0.05410821643286573,26.980198019801982,0.06315681848253629,17,17,True,0.034325955734406444,False,,,False,False,untested
REQUEST :: PLAN :: ACT :: INFORM :: PLAN,global,29.0,7.0,468.0,93.0,0.216804630274524,0.45461671108324186,1.7705263157894737,0.057539682539682536,28.93069306930693,0.061223874165050644,18,18,False,-0.011649899396378276,False,,,False,False,untested
PLAN :: ACT :: PLAN :: INFORM :: TERMINATE,global,28.0,6.0,469.0,94.0,0.21539736116770697,0.48426150121065376,1.6505263157894736,0.055666003976143144,27.940594059405942,0.05989169613420112,20,19,False,-0.003661971830985912,False,,,False,False,untested
ACT :: INFORM :: VERIFY_PASS :: PLAN :: TERMINATE,global,27.0,5.0,470.0,95.0,0.21409699939724852,0.5207328833172613,1.5347368421052632,0.053784860557768925,26.95049504950495,0.059433962264150944,21,20,True,0.004325955734406438,False,,,False,False,untested
ACT :: TERMINATE :: INFORM :: PLAN :: TERMINATE,global,27.0,6.0,470.0,94.0,0.210828150960069,0.47518479408658926,1.531512605042017,0.0536779324055666,26.940594059405942,0.05796640703650718,23,21,False,-0.005674044265593557,False,,,False,False,untested
INFORM :: TERMINATE :: VERIFY_PASS :: PLAN :: TERMINATE,global,25.0,4.0,472.0,96.0,0.20823935760609535,0.5570409982174688,1.3130252100840336,0.0499001996007984,24.96039603960396,0.05864897861498798,22,22,True,0.01030181086519115,False,,,False,False,untested
INFORM :: PLAN :: ACT :: PLAN :: INFORM,global,26.0,6.0,471.0,94.0,0.20616748090105413,0.4657828735220351,1.4171907756813418,0.05168986083499006,25.940594059405942,0.05710813489592931,26,23,False,-0.007686116700201202,False,,,False,False,untested
REQUEST :: PLAN :: ACT :: INFORM :: VERIFY_PASS,global,24.0,6.0,473.0,94.0,0.19654971570690913,0.4459308807134894,1.2025052192066805,0.04771371769383698,23.940594059405942,0.05595238095238095,30,24,False,-0.0117102615694165,False,,,False,False,untested
INFORM :: PLAN :: ACT :: PLAN :: TERMINATE,global,22.0,6.0,475.0,94.0,0.1864942605733198,0.42454650714010034,1.0062370062370063,0.0437375745526839,21.940594059405942,0.05528927620430889,34,25,False,-0.01573440643863179,False,,,False,False,untested
REQUEST :: PLAN :: ACT :: VERIFY_PASS :: TERMINATE,global,20.0,4.0,477.0,96.0,0.1831243855328779,0.5015045135406219,0.8316008316008316,0.03992015968063872,19.96039603960396,0.05552063691598575,33,26,True,0.0002414486921529166,False,,,False,False,untested
TERMINATE :: VERIFY_PASS :: PLAN :: VERIFY_FAIL :: TERMINATE,global,12.0,0.0,485.0,100.0,0.1553861937731012,1.0,0.29690721649484536,0.02414486921529175,12.0,0.060061518536506396,19,27,True,0.02414486921529175,False,,,False,False,untested
PLAN :: ACT :: REQUEST :: INFORM :: PLAN,global,12.0,1.0,485.0,99.0,0.14929022601411732,0.7071302298173247,0.2962962962962963,0.024096385542168676,11.990099009900991,0.057173788017185964,24,28,True,0.014144869215291749,False,,,False,False,untested
ACT :: TERMINATE :: INFORM :: PLAN :: ACT,global,12.0,1.0,485.0,99.0,0.14929022601411732,0.7071302298173247,0.2962962962962963,0.024096385542168676,11.990099009900991,0.057173788017185964,24,29,True,0.014144869215291749,False,,,False,False,untested
PLAN :: ACT :: INFORM :: ERROR :: PLAN,global,11.0,1.0,486.0,99.0,0.14243734429200944,0.688791484032561,0.24845995893223818,0.02208835341365462,10.990099009900991,0.055894801460372845,31,30,True,0.012132796780684104,False,,,False,False,untested
REQUEST :: PLAN :: ACT :: INFORM :: ERROR,global,11.0,1.0,486.0,99.0,0.14243734429200944,0.688791484032561,0.24845995893223818,0.02208835341365462,10.990099009900991,0.055894801460372845,31,31,True,0.012132796780684104,False,,,False,False,untested
REQUEST :: PLAN :: ACT :: REQUEST :: TERMINATE,global,10.0,0.0,487.0,100.0,0.1418475390906605,1.0,0.2053388090349076,0.02012072434607646,10.0,0.05675208883131781,28,32,True,0.02012072434607646,False,,,False,False,untested
PLAN :: ACT :: PLAN :: VERIFY_FAIL :: TERMINATE,global,10.0,0.0,487.0,100.0,0.1418475390906605,1.0,0.2053388090349076,0.02012072434607646,10.0,0.05675208883131781,28,33,True,0.02012072434607646,False,,,False,False,untested
PLAN :: ACT :: TERMINATE :: VERIFY_PASS :: PLAN,global,10.0,0.0,487.0,100.0,0.1418475390906605,1.0,0.2053388090349076,0.02012072434607646,10.0,0.05675208883131781,28,34,True,0.02012072434607646,False,,,False,False,untested
TERMINATE :: VERIFY_PASS :: PLAN :: ACT :: INFORM,global,10.0,1.0,487.0,99.0,0.1352463218994965,0.668002672010688,0.20491803278688525,0.020080321285140562,9.990099009900991,0.05285872211828467,35,35,True,0.010120724346076459,False,,,False,False,untested
ACT :: INFORM :: ERROR :: PLAN :: ACT,global,10.0,1.0,487.0,99.0,0.1352463218994965,0.668002672010688,0.20491803278688525,0.020080321285140562,9.990099009900991,0.05285872211828467,35,36,True,0.010120724346076459,False,,,False,False,untested
TERMINATE :: ERROR :: PLAN :: ACT :: INFORM,global,11.0,3.0,486.0,97.0,0.13187135630376542,0.42454650714010034,0.2474437627811861,0.022,10.970297029702971,0.0511484266775865,40,37,False,-0.007867203219315895,False,,,False,False,untested
INFORM :: PLAN :: ACT :: INFORM :: PLAN,global,10.0,2.0,487.0,98.0,0.12948849481091768,0.5015045135406219,0.20449897750511248,0.02004008016032064,9.98019801980198,0.04982533553962125,42,38,True,0.0001207243460764583,False,,,False,False,untested
VERIFY_PASS :: PLAN :: ACT :: INFORM :: TERMINATE,global,9.0,1.0,488.0,99.0,0.12766278518159443,0.6442376521116678,0.1656441717791411,0.018072289156626505,8.990099009900991,0.05050178579590344,41,39,True,0.008108651911468813,False,,,False,False,untested
PLAN :: ACT :: INFORM :: TERMINATE :: ERROR,global,10.0,3.0,487.0,97.0,0.1244085216784311,0.40144520272982737,0.20408163265306123,0.02,9.970297029702971,0.047965506228042167,51,40,False,-0.00987927565392354,False,,,False,False,untested
INFORM :: TERMINATE :: ERROR :: PLAN :: ACT,global,10.0,3.0,487.0,97.0,0.1244085216784311,0.40144520272982737,0.20408163265306123,0.02,9.970297029702971,0.047965506228042167,51,41,False,-0.00987927565392354,False,,,False,False,untested
ACT :: INFORM :: TERMINATE :: ERROR :: PLAN,global,10.0,3.0,487.0,97.0,0.1244085216784311,0.40144520272982737,0.20408163265306123,0.02,9.970297029702971,0.047965506228042167,51,42,False,-0.00987927565392354,False,,,False,False,untested
PLAN :: ACT :: INFORM :: PLAN :: ACT,global,9.0,2.0,488.0,98.0,0.12172168970954687,0.47518479408658926,0.1653061224489796,0.018036072144288578,8.98019801980198,0.04741864244343513,53,43,False,-0.0018913480885311869,False,,,False,False,untested
INFORM :: ERROR :: PLAN :: ACT :: INFORM,global,8.0,1.0,489.0,99.0,0.11961634773766842,0.6168080185042405,0.1306122448979592,0.01606425702811245,7.99009900990099,0.049088322772533305,48,44,True,0.006096579476861168,False,,,False,False,untested
ACT :: INFORM :: PLAN :: ACT :: INFORM,global,8.0,1.0,489.0,99.0,0.11961634773766842,0.6168080185042405,0.1306122448979592,0.01606425702811245,7.99009900990099,0.049088322772533305,48,45,True,0.006096579476861168,False,,,False,False,untested
INFORM :: TERMINATE :: VERIFY_PASS :: PLAN :: VERIFY_FAIL,global,7.0,0.0,490.0,100.0,0.11867816581938534,1.0,0.1,0.014084507042253521,7.0,0.05146768461234698,38,46,True,0.014084507042253521,False,,,False,False,untested
PLAN :: ACT :: INFORM :: VERIFY_FAIL :: TERMINATE,global,7.0,0.0,490.0,100.0,0.11867816581938534,1.0,0.1,0.014084507042253521,7.0,0.05146768461234698,38,47,True,0.014084507042253521,False,,,False,False,untested
REQUEST :: PLAN :: ACT :: REQUEST :: INFORM,global,7.0,0.0,490.0,100.0,0.11867816581938534,1.0,0.1,0.014084507042253521,7.0,0.05146768461234698,38,48,True,0.014084507042253521,False,,,False,False,untested
ERROR :: PLAN :: ACT :: INFORM :: PLAN,global,7.0,1.0,490.0,99.0,0.11101325894672145,0.5847953216374269,0.09979633401221996,0.014056224899598393,6.99009900990099,0.047000884553778474,54,49,True,0.004084507042253521,False,,,False,False,untested
REQUEST :: TERMINATE :: INFORM :: PLAN :: TERMINATE,global,7.0,1.0,490.0,99.0,0.11101325894672145,0.5847953216374269,0.09979633401221996,0.014056224899598393,6.99009900990099,0.047000884553778474,54,50,True,0.004084507042253521,False,,,False,False,untested
VERIFY_FAIL :: PLAN :: ACT :: PLAN :: VERIFY_FAIL,global,6.0,0.0,491.0,100.0,0.10987463131972675,1.0,0.07331975560081466,0.012072434607645875,6.0,0.0494827371307491,45,51,True,0.012072434607645875,False,,,False,False,untested
