pattern,fail_support,pass_support,mean_fail_surprise,mean_pass_surprise,surprise_delta,support_weighted_delta,rank
REQUEST :: PLAN :: ACT,310,56,0.7724756961909596,0.653175623922,0.11930007226895956,0.7045100952472668,1
PLAN :: ACT :: INFORM,255,48,0.7445411292777787,0.6594115031202638,0.08512962615751496,0.48668843095286873,2
INFORM :: PLAN :: TERMINATE,200,38,0.651783949377928,0.6101066039060644,0.041677345471863636,0.228244463417919,3
ACT :: INFORM :: TERMINATE,185,32,0.7151577753365735,0.5871174231850957,0.1280403521514778,0.6894326439974084,4
TERMINATE :: INFORM :: PLAN,184,30,0.7056846577364871,0.5539545821395001,0.15173007559698704,0.8148873140118637,5
INFORM :: PLAN :: ACT,156,30,0.9447972007939972,0.9411412128042312,0.003655987989765963,0.019124870276381607,6
INFORM :: TERMINATE :: INFORM,144,23,0.6695125518272009,0.5068269287760544,0.16268562305114653,0.8335952724808513,7
PLAN :: INFORM :: TERMINATE,94,20,1.008145892041713,0.9903535401942494,0.01779235184746364,0.08442350192017345,8
ACT :: VERIFY_PASS :: PLAN,72,15,1.0338096709330595,0.9244203001151975,0.10938937081786204,0.48977305707542174,9
PLAN :: VERIFY_FAIL :: TERMINATE,70,0,1.5041035060242707,,1.5041035060242707,6.41151174811695,10
VERIFY_PASS :: PLAN :: TERMINATE,67,13,0.7971031522656601,0.8213016155853144,-0.024198463319654362,-0.10633891667942713,11
PLAN :: ACT :: VERIFY_PASS,66,15,1.0533172847257812,0.902515876690432,0.15080140803534925,0.6645394673039238,12
PLAN :: ACT :: PLAN,62,12,1.2563848044535246,0.9889710833957263,0.26741372105779837,1.154555562063559,13
VERIFY_PASS :: PLAN :: INFORM,61,12,0.9610085803710625,0.9471911855519504,0.01381739481911215,0.05947096671996075,14
PLAN :: ACT :: TERMINATE,54,8,0.8768307427874719,0.7324603413059758,0.14437040148149605,0.5981460238410738,15
TERMINATE :: VERIFY_PASS :: PLAN,49,5,0.962052891070436,0.6841058037093424,0.27794708736109364,1.1138265869208193,16
REQUEST :: PLAN :: TERMINATE,47,16,0.7931747846175918,0.8236654107222439,-0.03049062610465203,-0.12680694910768212,17
ACT :: INFORM :: PLAN,43,10,0.787351225371833,0.7974306692721257,-0.010079443900292695,-0.040206740916507146,18
ACT :: TERMINATE :: INFORM,42,8,0.7541147133658364,0.7324603413059758,0.021654372059860538,0.08514121512550912,19
INFORM :: TERMINATE :: VERIFY_PASS,39,7,0.8456924264297526,0.7150918351887797,0.1306005912409729,0.5028315531483475,20
INFORM :: PLAN :: VERIFY_FAIL,37,0,1.2488619910862675,,1.2488619910862675,4.542843094183744,21
ACT :: INFORM :: VERIFY_PASS,32,7,0.8565547591034204,0.9134266969770436,-0.05687193787362321,-0.2097937231376529,22
INFORM :: VERIFY_PASS :: PLAN,30,6,0.8076310668861689,0.9159885729058675,-0.10835750601969862,-0.39127005945598414,23
ACT :: PLAN :: INFORM,29,6,1.1103572416889287,1.0064613233032638,0.10389591838566492,0.37231299116332056,24
ERROR :: PLAN :: ACT,25,5,1.0158462238007746,0.8795799071645829,0.1362663166361917,0.4679367877310037,25
ACT :: PLAN :: TERMINATE,23,6,1.018714790237445,0.9714808434881892,0.04723394674925574,0.1606519760091383,26
VERIFY_PASS :: PLAN :: VERIFY_FAIL,20,0,1.5717668573395804,,1.5717668573395804,4.785279464040383,27
