pattern,label,e_f,e_p,n_f,n_p,ochiai,tarantula,dstar,jaccard,op2,rrf_score,rank_rrf,rank,higher_in_positives,fail_pass_rate_delta,fisher_tested,p_value,q_value,reject_bh,reject_bh_exploratory,evidence_level
REQUEST :: PLAN :: ACT,global,310.0,56.0,187.0,44.0,0.7268469238610116,0.5269241229262986,395.4732510288066,0.5605786618444847,309.44554455445547,0.07747853239656519,1,1,True,0.06374245472837015,False,,,False,False,untested
PLAN :: ACT :: INFORM,global,255.0,48.0,242.0,52.0,0.6571139270099989,0.5166545100899587,224.22413793103448,0.46788990825688076,254.52475247524754,0.076280834914611,2,2,True,0.033078470824949746,False,,,False,False,untested
INFORM :: PLAN :: TERMINATE,global,200.0,38.0,297.0,62.0,0.581518215009504,0.5143239212055752,119.40298507462687,0.37383177570093457,199.62376237623764,0.07511997046880767,3,3,True,0.022414486921529198,False,,,False,False,untested
TERMINATE :: INFORM :: PLAN,global,184.0,30.0,313.0,70.0,0.564199558493354,0.5523866706694686,98.70553935860059,0.349146110056926,183.7029702970297,0.07427884615384615,5,4,True,0.07022132796780683,False,,,False,False,untested
ACT :: INFORM :: TERMINATE,global,185.0,32.0,312.0,68.0,0.5633310208507514,0.5377281711428904,99.49127906976744,0.3497164461247637,184.68316831683168,0.0744547373358349,4,5,True,0.052233400402414476,False,,,False,False,untested
INFORM :: PLAN :: ACT,global,156.0,30.0,341.0,70.0,0.5130857249247616,0.511307767944936,65.59568733153638,0.29601518026565465,155.7029702970297,0.07196969696969698,8,6,True,0.01388329979879277,False,,,False,False,untested
INFORM :: TERMINATE :: INFORM,global,144.0,23.0,353.0,77.0,0.4998343078995658,0.5574697069412722,55.148936170212764,0.27692307692307694,143.77227722772278,0.0723597203854147,7,7,True,0.05973843058350101,False,,,False,False,untested
PLAN :: INFORM :: TERMINATE,global,94.0,20.0,403.0,80.0,0.39490918378823614,0.4860392967942089,20.88888888888889,0.18181818181818182,93.8019801980198,0.06902761104441778,9,8,False,-0.010865191146881309,False,,,False,False,untested
PLAN :: VERIFY_FAIL :: TERMINATE,global,70.0,0.0,427.0,100.0,0.37529331252040077,1.0,11.475409836065573,0.14084507042253522,70.0,0.07282411139032446,6,9,True,0.14084507042253522,True,1.0960228566455427e-06,1.0960228566455427e-06,True,True,bh_significant
ACT :: VERIFY_PASS :: PLAN,global,72.0,15.0,425.0,85.0,0.3462539016088912,0.49129989764585474,11.781818181818181,0.140625,71.85148514851485,0.06786621416832084,10,10,False,-0.005130784708249486,False,,,False,False,untested
