Rank,Pattern,fail_sup,pass_sup,Δ surprise
1,TERMINATE → PLAN → ACT → PLAN,10,11,0.165
2,ACT → PLAN → ACT → PLAN,9,11,0.136
3,PLAN → ACT → TERMINATE → ACT,9,6,0.050
4,ACT → TERMINATE → ACT → PLAN,7,6,0.038
5,TERMINATE → ACT → PLAN → ACT,6,7,0.040
