Rank,Pattern,fail_sup,pass_sup,Δ surprise
1,REQUEST → PLAN → ACT → INFORM,245,44,0.106
2,PLAN → ACT → INFORM → TERMINATE,183,30,0.148
3,ACT → INFORM → TERMINATE → INFORM,144,23,0.168
4,INFORM → TERMINATE → INFORM → PLAN,143,23,0.165
5,TERMINATE → INFORM → PLAN → TERMINATE,143,28,0.061
