SBFL #,Pattern (SBFL),Ochiai,Mk#,,Mk #,Pattern (Markov),Δ surprise,SBFL#
1,REQUEST → PLAN → ACT → INFORM,0.646,1,│,1,REQUEST → PLAN → ACT → INFORM,0.106,1
2,PLAN → ACT → INFORM → TERMINATE,0.562,2,│,2,PLAN → ACT → INFORM → TERMINATE,0.148,2
3,ACT → INFORM → TERMINATE → INFORM,0.500,3,│,3,ACT → INFORM → TERMINATE → INFORM,0.168,3
4,INFORM → TERMINATE → INFORM → PLAN,0.498,4,│,4,INFORM → TERMINATE → INFORM → PLAN,0.165,4
5,TERMINATE → INFORM → PLAN → TERMINATE,0.491,5,│,5,TERMINATE → INFORM → PLAN → TERMINATE,0.061,5
