SBFL #,Pattern (SBFL),Ochiai,Mk#,,Mk #,Pattern (Markov),Δ surprise,SBFL#,pattern match,Shared families
1,PLAN → ACT → TERMINATE → ACT,0.621,3,│,1,TERMINATE → PLAN → ACT → PLAN,0.165,2,yes,"act, plan, terminate"
2,TERMINATE → PLAN → ACT → PLAN,0.583,1,│,2,ACT → PLAN → ACT → PLAN,0.136,3,yes,"act, plan, terminate"
3,ACT → PLAN → ACT → PLAN,0.538,2,│,3,PLAN → ACT → TERMINATE → ACT,0.050,1,yes,"act, plan"
4,ACT → TERMINATE → ACT → PLAN,0.519,4,│,4,ACT → TERMINATE → ACT → PLAN,0.038,4,yes,"act, plan, terminate"
5,ERROR → PLAN → ACT → VERIFY_FAIL,0.478,7,│,5,TERMINATE → ACT → PLAN → ACT,0.040,—,yes,"act, plan"
