pattern,fail_support,pass_support,mean_fail_surprise,mean_pass_surprise,surprise_delta,support_weighted_delta,rank
ACT :: TERMINATE :: ACT,9,6,1.074579751725944,1.0335160499737672,0.041063701752176884,0.11385275637150356,1
TERMINATE :: ACT :: PLAN,8,7,1.0481400004014132,1.0206364760045183,0.02750352439689485,0.07625596156467734,2
ERROR :: PLAN :: ACT,7,4,1.3041470875023087,0.9909924166369368,0.31315467086537185,0.7781601240455351,3
INFORM :: PLAN :: ACT,6,11,1.0207331125853631,0.964233192266428,0.05649992031893514,0.1633057740132338,4
PLAN :: ACT :: VERIFY_FAIL,5,1,1.4523326124653402,0.8624429139050128,0.5898896985603274,1.1478723512517204,5
PLAN :: ACT :: INFORM,5,10,1.0496758430413524,1.0323892949581701,0.017286548083182307,0.04792848826188697,6
REQUEST :: PLAN :: ACT,5,6,0.983809983682221,1.0369795331838718,-0.05316954950165087,-0.1321213671228845,7
PLAN :: ACT :: ERROR,4,2,1.4716514356018113,1.0285954306475165,0.44305600495429487,0.8621471766404635,8
REQUEST :: PLAN :: ERROR,4,3,1.1386294575280869,0.9770026335283714,0.1616268239997155,0.3360935320747839,9
ACT :: INFORM :: PLAN,4,8,1.0871203424658011,1.011676421480106,0.07544392098569519,0.19350983665663782,10
TERMINATE :: PLAN :: TERMINATE,4,3,1.0086146972421384,0.9970821980779435,0.011532499164194854,0.023981157841414764,11
ACT :: ERROR :: PLAN,3,3,1.5968760832079125,1.1805273637268952,0.41634871948101737,0.8101771987842953,12
ACT :: PLAN :: TERMINATE,3,4,1.0653414347615158,0.9256984402880521,0.13964299447346362,0.290379443712688,13
PLAN :: TERMINATE :: PLAN,3,3,1.0450779484405939,0.9255536857463104,0.11952426269428351,0.23258347583515965,14
INFORM :: ACT :: PLAN,3,6,0.9894119132496689,1.0185261212466885,-0.02911420799701958,-0.06703794132826532,15
PLAN :: TERMINATE :: ACT,3,2,0.9794937653950152,1.010322258303884,-0.0308284929088688,-0.055237244091495614,16
