pattern,label,e_f,e_p,n_f,n_p,ochiai,tarantula,dstar,jaccard,op2,rrf_score,rank_rrf,rank,higher_in_positives,fail_pass_rate_delta,fisher_tested,p_value,q_value,reject_bh,reject_bh_exploratory,evidence_level
PLAN :: ACT :: PLAN :: ACT :: TERMINATE,global,11.0,10.0,3.0,6.0,0.6415330278717847,0.5569620253164558,9.307692307692308,0.4583333333333333,10.411764705882353,0.08049914362613164,1,1,True,0.1607142857142857,True,0.28989505247376307,0.28989505247376307,False,False,high_effect
ACT :: TERMINATE :: PLAN :: ACT :: PLAN,global,10.0,10.0,4.0,6.0,0.5976143046671968,0.5333333333333333,7.142857142857143,0.4166666666666667,9.411764705882353,0.07880184331797234,2,2,True,0.0892857142857143,False,,,False,False,untested
ACT :: PLAN :: ACT :: PLAN :: ACT,global,9.0,9.0,5.0,7.0,0.5669467095138409,0.5333333333333334,5.785714285714286,0.391304347826087,8.470588235294118,0.07819794584500467,3,3,True,0.0803571428571429,False,,,False,False,untested
ACT :: PLAN :: ACT :: TERMINATE :: ACT,global,7.0,5.0,7.0,11.0,0.5400617248673216,0.6153846153846154,4.083333333333333,0.3684210526315789,6.705882352941177,0.07635691789783747,4,4,True,0.1875,True,0.2509282201004761,0.28989505247376307,False,False,high_effect
PLAN :: ACT :: TERMINATE :: ACT :: PLAN,global,7.0,5.0,7.0,11.0,0.5400617248673216,0.6153846153846154,4.083333333333333,0.3684210526315789,6.705882352941177,0.07635691789783747,4,5,True,0.1875,True,0.2509282201004761,0.28989505247376307,False,False,high_effect
ACT :: PLAN :: ACT :: TERMINATE :: PLAN,global,9.0,12.0,5.0,4.0,0.5248906591678238,0.4615384615384616,4.764705882352941,0.34615384615384615,8.294117647058824,0.07488636363636364,6,6,False,-0.1071428571428571,False,,,False,False,untested
PLAN :: ACT :: PLAN :: ACT :: PLAN,global,8.0,10.0,6.0,6.0,0.5039526306789696,0.47761194029850745,4.0,0.3333333333333333,7.411764705882353,0.07341025015394984,7,7,False,-0.0535714285714286,False,,,False,False,untested
TERMINATE :: PLAN :: ACT :: PLAN :: ACT,global,8.0,10.0,6.0,6.0,0.5039526306789696,0.47761194029850745,4.0,0.3333333333333333,7.411764705882353,0.07341025015394984,7,8,False,-0.0535714285714286,False,,,False,False,untested
ACT :: TERMINATE :: ACT :: PLAN :: ACT,global,6.0,6.0,8.0,10.0,0.4629100498862757,0.5333333333333333,2.5714285714285716,0.3,5.647058823529412,0.07225672877846791,10,9,True,0.05357142857142855,False,,,False,False,untested
TERMINATE :: ACT :: PLAN :: ACT :: PLAN,global,4.0,2.0,10.0,14.0,0.4364357804719848,0.6956521739130435,1.3333333333333333,0.25,3.8823529411764706,0.07313388527888644,9,10,True,0.1607142857142857,True,0.26130268199233714,0.28989505247376307,False,False,tested_not_significant
INFORM :: PLAN :: ACT :: PLAN :: ACT,global,5.0,7.0,9.0,9.0,0.38575837490522974,0.449438202247191,1.5625,0.23809523809523808,4.588235294117647,0.06939867050403688,14,11,False,-0.08035714285714285,False,,,False,False,untested
PLAN :: ACT :: TERMINATE :: PLAN :: TERMINATE,global,3.0,2.0,11.0,14.0,0.35856858280031806,0.631578947368421,0.6923076923076923,0.1875,2.8823529411764706,0.07011218655054272,12,12,True,0.08928571428571427,False,,,False,False,untested
TERMINATE :: PLAN :: TERMINATE :: PLAN :: ACT,global,3.0,2.0,11.0,14.0,0.35856858280031806,0.631578947368421,0.6923076923076923,0.1875,2.8823529411764706,0.07011218655054272,12,13,True,0.08928571428571427,False,,,False,False,untested
ACT :: TERMINATE :: PLAN :: TERMINATE :: PLAN,global,3.0,2.0,11.0,14.0,0.35856858280031806,0.631578947368421,0.6923076923076923,0.1875,2.8823529411764706,0.07011218655054272,12,14,True,0.08928571428571427,False,,,False,False,untested
PLAN :: ACT :: INFORM :: PLAN :: ACT,global,4.0,5.0,10.0,11.0,0.3563483225498992,0.47761194029850745,1.0666666666666667,0.21052631578947367,3.7058823529411766,0.0686986301369863,15,15,False,-0.0267857142857143,False,,,False,False,untested
ACT :: INFORM :: PLAN :: ACT :: INFORM,global,3.0,3.0,11.0,13.0,0.3273268353539886,0.5333333333333333,0.6428571428571429,0.17647058823529413,2.823529411764706,0.06691729323308271,16,16,True,0.026785714285714274,False,,,False,False,untested
PLAN :: ACT :: PLAN :: ACT :: INFORM,global,3.0,4.0,11.0,12.0,0.30304576336566325,0.4615384615384615,0.6,0.16666666666666666,2.764705882352941,0.06426906426906426,18,17,False,-0.035714285714285726,False,,,False,False,untested
ACT :: INFORM :: PLAN :: ACT :: PLAN,global,3.0,4.0,11.0,12.0,0.30304576336566325,0.4615384615384615,0.6,0.16666666666666666,2.764705882352941,0.06426906426906426,18,18,False,-0.035714285714285726,False,,,False,False,untested
INFORM :: PLAN :: ACT :: INFORM :: PLAN,global,3.0,4.0,11.0,12.0,0.30304576336566325,0.4615384615384615,0.6,0.16666666666666666,2.764705882352941,0.06426906426906426,18,19,False,-0.035714285714285726,False,,,False,False,untested
ACT :: TERMINATE :: PLAN :: ACT :: TERMINATE,global,3.0,8.0,11.0,8.0,0.24174688920761409,0.3,0.47368421052631576,0.13636363636363635,2.5294117647058822,0.06211180124223602,20,20,False,-0.2857142857142857,False,,,False,False,untested
TERMINATE :: PLAN :: ACT :: TERMINATE :: PLAN,global,3.0,8.0,11.0,8.0,0.24174688920761409,0.3,0.47368421052631576,0.13636363636363635,2.5294117647058822,0.06211180124223602,20,21,False,-0.2857142857142857,False,,,False,False,untested
