pattern,fail_support,pass_support,mean_fail_surprise,mean_pass_surprise,surprise_delta,support_weighted_delta,rank
INFORM :: PLAN :: ACT :: INFORM :: PLAN,76,21,0.5958337588774181,0.5406245426818574,0.05520921619556063,0.25313246077953816,1
INFORM :: PLAN :: ACT :: INFORM :: ACT,63,25,0.5634951065736659,0.47827296445151063,0.08522214212215523,0.38253120663598733,2
PLAN :: ACT :: INFORM :: ACT :: TERMINATE,63,25,0.5634951065736659,0.47827296445151063,0.08522214212215523,0.38253120663598733,3
INFORM :: ACT :: VERIFY_PASS :: PLAN :: ACT,57,28,0.49157889279685296,0.46080720359982735,0.03077168919702561,0.13706779057592428,4
INFORM :: ACT :: INFORM :: ACT :: VERIFY_PASS,53,31,0.5239723664223517,0.48557625080850886,0.03839611561384282,0.17058055127618627,5
ACT :: VERIFY_PASS :: PLAN :: ACT :: INFORM,45,12,0.5066018160206929,0.45069906889924466,0.055902747121448215,0.22698991881962835,6
VERIFY_PASS :: PLAN :: ACT :: INFORM :: PLAN,45,12,0.5066018160206929,0.45069906889924466,0.055902747121448215,0.22698991881962835,7
INFORM :: ACT :: INFORM :: ACT :: INFORM,38,22,0.5251730892678431,0.47263197371351295,0.052541115554330164,0.2159898987268057,8
ACT :: INFORM :: ACT :: PLAN :: INFORM,30,7,0.7422789956072037,0.6572406677735577,0.08503832783364595,0.3093342443739456,9
ACT :: VERIFY_PASS :: PLAN :: INFORM :: PLAN,30,9,0.7010881750964458,0.6605251743920081,0.040563000704437746,0.14963201989580951,10
INFORM :: ACT :: VERIFY_PASS :: PLAN :: INFORM,30,9,0.7010881750964458,0.6605251743920081,0.040563000704437746,0.14963201989580951,11
PLAN :: INFORM :: PLAN :: ACT :: INFORM,30,9,0.7010881750964458,0.6605251743920081,0.040563000704437746,0.14963201989580951,12
VERIFY_PASS :: PLAN :: INFORM :: PLAN :: ACT,30,9,0.7010881750964458,0.6605251743920081,0.040563000704437746,0.14963201989580951,13
INFORM :: ACT :: PLAN :: INFORM :: ACT,29,7,0.7154240895891619,0.6572406677735577,0.05818342181560421,0.21009556005289998,14
ACT :: PLAN :: INFORM :: ACT :: PLAN,28,7,0.7237242887516244,0.6572406677735577,0.0664836209780667,0.23824531487203995,15
INFORM :: PLAN :: ACT :: INFORM :: TERMINATE,17,7,0.5787520632229831,0.552908541871232,0.025843521351751164,0.08318708610861698,16
PLAN :: INFORM :: ACT :: PLAN :: ACT,16,4,0.6893926514218884,0.6137591710520309,0.07563348036985751,0.23026782802914525,17
ACT :: PLAN :: ERROR :: INFORM :: ACT,15,4,0.88347875020412,0.6141690153962175,0.26930973480790255,0.8067798641463002,18
PLAN :: INFORM :: ACT :: PLAN :: INFORM,15,4,0.7527577164966391,0.6924604267272155,0.06029728976942361,0.18063453697009918,19
PLAN :: ACT :: INFORM :: ACT :: VERIFY_PASS,15,2,0.5397384463156922,0.708730958415782,-0.1689925121000898,-0.48845118427002543,20
ERROR :: ACT :: PLAN :: ERROR :: INFORM,12,2,0.8386693531303506,0.6321653391202124,0.20650401401013818,0.5592232366685683,21
ACT :: PLAN :: ACT :: INFORM :: PLAN,12,16,0.4352429307074535,0.4683883046252644,-0.03314537391781086,-0.11161027937678696,22
ACT :: VERIFY_PASS :: PLAN :: ACT :: PLAN,12,16,0.4352429307074535,0.4683883046252644,-0.03314537391781086,-0.11161027937678696,23
