pattern,fail_support,pass_support,mean_fail_surprise,mean_pass_surprise,surprise_delta,support_weighted_delta,rank
PLAN :: REQUEST :: PLAN :: ACT :: VERIFY_FAIL,98,3,1.1697009006379746,1.1595576426393845,0.01014325799859006,0.046912292481607255,1
REQUEST :: PLAN :: ACT :: VERIFY_FAIL :: ACT,86,3,1.136898510310672,1.1595576426393845,-0.02265913232871264,-0.10196178277403427,2
PLAN :: REQUEST :: PLAN :: ACT :: INFORM,68,53,0.6499011492563479,0.26538248762259675,0.38451866163375115,1.847235742581207,3
REQUEST :: PLAN :: ACT :: INFORM :: ACT,60,51,0.5623014599536418,0.2292317274353646,0.3330697325182772,1.57158915695005,4
PLAN :: ACT :: VERIFY_FAIL :: ACT :: VERIFY_FAIL,60,1,1.1589383119379937,1.2251230475716663,-0.06618473563367266,-0.2731532981988496,5
PLAN :: ACT :: INFORM :: ACT :: INFORM,42,51,0.3876803370539698,0.2292317274353646,0.1584486096186052,0.7198787413381458,6
ACT :: INFORM :: ACT :: INFORM :: TERMINATE,36,51,0.2844817302420544,0.2292317274353646,0.05525000280668982,0.24737287156641657,7
ACT :: VERIFY_FAIL :: ACT :: VERIFY_FAIL :: ACT,28,1,1.1964625215143585,1.2251230475716663,-0.028660526057307845,-0.09748010618317542,8
PLAN :: ACT :: VERIFY_FAIL :: ACT :: INFORM,26,2,1.086037429632237,1.1267749401732436,-0.040737510541006605,-0.13717524936876158,9
VERIFY_FAIL :: ACT :: VERIFY_FAIL :: ACT :: VERIFY_FAIL,22,1,1.18248070461803,1.2251230475716663,-0.04264234295363645,-0.13551966135881505,10
PLAN :: ACT :: INFORM :: ACT :: VERIFY_FAIL,18,0,0.9697507467195431,,0.9697507467195431,2.8553718987167844,11
REQUEST :: PLAN :: ACT :: INFORM :: VERIFY_FAIL,16,0,1.4121927965691201,,1.4121927965691201,4.001043475619697,12
INFORM :: ACT :: VERIFY_FAIL :: ACT :: VERIFY_FAIL,16,0,1.3289123626375838,,1.3289123626375838,3.765092238906076,13
ACT :: INFORM :: ACT :: VERIFY_FAIL :: ACT,16,1,1.1764758923127618,1.2690635140763826,-0.09258762176362079,-0.2676126470763418,14
ACT :: VERIFY_FAIL :: ACT :: VERIFY_FAIL :: INFORM,14,0,1.3744174251957415,,1.3744174251957415,3.7219913846997095,15
ACT :: INFORM :: ACT :: INFORM :: ACT,14,21,0.6163993409569128,0.3456435647478378,0.27075577620907504,0.9702584517416046,16
ACT :: VERIFY_FAIL :: ACT :: INFORM :: TERMINATE,14,1,0.978653987586914,0.9844863662701047,-0.005832378683190642,-0.01617078736084608,17
ACT :: VERIFY_FAIL :: INFORM :: ACT :: VERIFY_FAIL,13,0,1.4464892397179567,,1.4464892397179567,3.8173680302872763,18
INFORM :: ACT :: INFORM :: ACT :: INFORM,13,20,0.6267473605386218,0.2994725672814106,0.3272747932572112,1.154088911644145,19
ACT :: VERIFY_FAIL :: ACT :: INFORM :: ACT,12,2,1.1223228633457853,1.2470932808240245,-0.12477041747823914,-0.3378845541435522,20
VERIFY_FAIL :: INFORM :: ACT :: VERIFY_FAIL :: ACT,11,0,1.4646142544634395,,1.4646142544634395,3.639429700290495,21
VERIFY_FAIL :: ACT :: VERIFY_FAIL :: ACT :: INFORM,11,1,1.2401660137815882,1.2251230475716663,0.015042966209921849,0.038584446514454654,22
INFORM :: ACT :: VERIFY_FAIL :: ACT :: INFORM,11,1,1.242888479445517,1.2690635140763826,-0.026175034630865568,-0.06713763825797212,23
VERIFY_FAIL :: ACT :: INFORM :: ACT :: VERIFY_FAIL,9,0,1.2420941687099538,,1.2420941687099538,2.860027516966371,24
VERIFY_FAIL :: ACT :: VERIFY_FAIL :: INFORM :: VERIFY_FAIL,8,0,1.480162679457573,,1.480162679457573,3.252249817760012,25
VERIFY_FAIL :: ACT :: VERIFY_FAIL :: INFORM :: ACT,8,0,1.4791861506134232,,1.4791861506134232,3.2501041645831683,26
ACT :: VERIFY_FAIL :: ACT :: INFORM :: VERIFY_FAIL,8,0,1.3716490560632968,,1.3716490560632968,3.013821017462302,27
PLAN :: ACT :: VERIFY_FAIL :: INFORM :: ACT,8,0,1.3518353362464999,,1.3518353362464999,2.970285825312382,28
VERIFY_FAIL :: ACT :: INFORM :: VERIFY_FAIL :: INFORM,6,0,1.368794044692324,,1.368794044692324,2.663550223533265,29
ACT :: INFORM :: ACT :: INFORM :: VERIFY_FAIL,5,0,1.0062322915748765,,1.0062322915748765,1.8029262366723302,30
INFORM :: ACT :: INFORM :: ACT :: VERIFY_FAIL,5,1,0.8814416655053268,1.2690635140763826,-0.38762184857105586,-0.7542772891299994,31
REQUEST :: PLAN :: ACT :: INFORM :: ERROR,3,2,1.4738669854470716,1.187226872397015,0.28664011305005666,0.5135901368180392,32
VERIFY_FAIL :: ACT :: INFORM :: ACT :: INFORM,3,2,0.7630089472532791,1.2470932808240245,-0.48408433357074543,-0.8673626885803355,33
