pattern,fail_support,pass_support,mean_fail_surprise,mean_pass_surprise,surprise_delta,support_weighted_delta,rank
ACT :: TERMINATE,66,25,0.831221644480974,0.742400174591433,0.08882146988954098,0.4016319079432317,1
INFORM :: TERMINATE,18,7,0.9064223698058973,0.8358935947172632,0.07052877508863409,0.22978955794717448,2
ERROR :: INFORM,16,4,1.100339210440501,0.9396093131487144,0.16072989729178655,0.4893457787178254,3
PLAN :: ERROR,16,4,1.100339210440501,0.9396093131487144,0.16072989729178655,0.4893457787178254,4
ERROR :: ACT,15,2,1.1432182098090904,1.0310647991068271,0.11215341070226326,0.32416505084555114,5
ACT :: ERROR,15,4,1.0327141907891264,0.9396093131487144,0.09310487764041198,0.2789172867726775,6
REQUEST :: INFORM,15,4,0.9473586966836683,0.9399057928565868,0.007452903827081525,0.022326904526482175,7
VERIFY_FAIL :: INFORM,8,4,1.2437207285060028,1.0009453908761958,0.24277533762980696,0.622706446261081,8
REQUEST :: TERMINATE,8,5,0.9015973658800073,0.9023060897935631,-0.0007087239135558088,-0.0018703630387430679,9
PLAN :: VERIFY_FAIL,7,4,1.2175948081167651,1.0009453908761958,0.2166494172405693,0.5383535775737857,10
INFORM :: ERROR,7,1,1.3246423757858818,1.1859782999651909,0.13866407582069096,0.3046761153868352,11
VERIFY_FAIL :: ACT,6,1,1.126604778063743,0.8618446946471421,0.26476008341660084,0.5505531160350984,12
INFORM :: VERIFY_FAIL,5,1,1.1727168880186623,0.8618446946471421,0.31087219337152017,0.604929356140727,13
ERROR :: PLAN,3,3,0.9487186333710564,0.9607619847821315,-0.012043351411075043,-0.023435279739450553,14
